elapsedDistance,engineSpeed,torque,brakePosition
208.0,3073.577277,62.52276358,0.0
208.5,3072.476813,62.54037099,0.0
209.0,3071.409622,62.55744605,0.0
209.5,3070.374398,62.57400963,0.0
210.0,3069.369912,62.5900814,0.0
210.5,3068.395001,62.60567999,0.0
211.0,3067.448564,62.62082298,0.0
211.5,3066.529559,62.63552705,0.0
212.0,3065.636998,62.64980804,0.0
212.5,3064.76994,62.66368096,0.0
213.0,3063.927492,62.67716013,0.0
213.5,3063.108803,62.69025916,0.0
214.0,3062.313061,62.70299102,0.0
214.5,3061.539494,62.7153681,0.0
215.0,3060.787361,62.72740222,0.0
215.5,3060.055956,62.7391047,0.0
216.0,3059.344604,62.75048634,0.0
216.5,3058.652656,62.7615575,0.0
217.0,3057.979494,62.7723281,0.0
217.5,3057.324522,62.78280764,0.0
218.0,3056.687171,62.79300527,0.0
218.5,3056.066892,62.80292972,0.0
219.0,3055.46316,62.81258944,0.0
219.5,3054.875469,62.82199249,0.0
220.0,3054.303333,62.83114667,0.0
220.5,3053.746284,62.84005946,0.0
221.0,3053.20387,62.84873807,0.0
221.5,3061.27892,62.71953729,0.0
222.0,3069.315564,62.59095098,0.0
222.5,3077.314141,62.46297375,0.0
223.0,3085.274983,62.33560027,0.0
223.5,3093.19842,62.20882529,0.0
224.0,3101.084773,62.08264363,0.0
224.5,3108.934362,61.9570502,0.0
225.0,3116.747501,61.83203998,0.0
225.5,3124.524499,61.70760801,0.0
226.0,3132.265661,61.58374942,0.0
226.5,3139.971288,61.4604594,0.0
227.0,3147.641676,61.33773319,0.0
227.5,3155.277117,61.21556613,0.0
228.0,3162.8779,61.0939536,0.0
228.5,3170.444309,60.97289105,0.0
229.0,3177.976624,60.85237401,0.0
229.5,3185.475122,60.73239804,0.0
230.0,3192.940076,60.61295879,0.0
230.5,3200.371754,60.49405194,0.0
231.0,3207.770422,60.37567325,0.0
231.5,3215.136342,60.25781853,0.0
232.0,3222.469772,60.14048365,0.0
232.5,3229.770967,60.02366453,0.0
233.0,3237.040179,59.90735714,0.0
233.5,3244.277656,59.7915575,0.0
234.0,3251.483644,59.6762617,0.0
234.5,3258.658383,59.56146587,0.0
235.0,3265.802114,59.44716617,0.0
235.5,3272.915072,59.33335885,0.0
236.0,3279.99749,59.22004016,0.0
236.5,3287.049597,59.10720645,0.0
237.0,3294.021406,58.99565751,100.0
237.5,3266.611114,59.43422218,100.0
238.0,3239.027565,59.87555896,100.0
238.5,3211.266145,60.31974169,100.0
239.0,3183.322044,60.76684729,100.0
239.5,3167.114579,61.02616673,0.0
240.0,3163.519578,61.08368675,0.0
240.5,3160.275006,61.13559991,0.0
241.0,3157.270126,61.18367799,0.0
