speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N
47.19830387,0.563970626,8.5,0,-14.60871119,1,4.2,2590.290816,148.7145867,40.33951871,8.250666253,148.5119926,31.64077999,0,100,0,1,0,1.7,1.4,0,3.318072042,28.56646913,1.00234515,-8.952774185,0,2225.310666
46.17320226,0.583914558,8.75,0,-14.57829768,1,4.2,2534.032199,151.6962934,40.25461861,7.896165209,142.1309738,31.32577926,0,100,0,1,0,1.7,1.4,-0.717657356,3.092466245,-1.184590064,1.031795993,-9.216551084,0,2224.956165
45.12650737,0.60385849,9,16.73373358,0,1,4.2,2476.588521,154.7408084,40.13167948,7.542228398,135.7601112,0,5.630180958,0,9.39,1,45.12650737,1.7,1.4,0.712719027,8.996986204,31.00290757,1.057840053,-9.479659598,0,2224.602228
45.06924289,0.623802422,9.25,16.69129109,-0.79757591,1,4.2,2473.445789,154.9073732,40.12389671,7.523098721,135.415777,100,95.77483256,0,9.39,1,45.12650737,1.4,1.7,2.143490825,10.96570337,10.33715809,1.090434786,-9.741963791,0,2224.583099
45.0472128,0.643771695,9.5,16.67497749,-0.306444323,1,4.2,2472.236755,154.971452,40.12087342,7.515745855,135.2834254,96.3658196,95.78070747,0,9.39,1,45.12650737,1.4,1.7,3.574710084,11.61826644,3.422069812,1.129556569,-10.00329029,0,2224.575746
45.0314226,0.663750733,9.75,16.66328953,-0.219538384,1,4.2,2471.370173,155.0173808,40.11869648,7.510477857,135.1886014,95.72686583,95.78491412,0,9.39,1,45.12650737,1.4,1.7,5.00642874,11.83585859,1.140505164,1.17517719,-10.26346642,0,2224.570478
45.01958379,0.683736778,10,16.65452909,-0.164542787,1,4.2,2470.720447,155.0518163,40.11705883,7.506529349,135.1175283,95.32332363,95.78806576,0,9.39,1,45.12650737,1.4,1.7,6.438698609,11.90954058,0.386067401,1.227263869,-10.52232029,0,2224.566529
45.01049704,0.703728078,10.25,16.64780667,-0.126259763,1,4.2,2470.221757,155.0782469,40.11579869,7.503499421,135.0629896,95.04279989,95.79048343,0,9.39,1,45.12650737,1.4,1.7,7.871571372,11.93606454,0.138939558,1.285779283,-10.77968097,0,2224.563499
45.00342121,0.723723413,10.5,16.64257288,-0.098298251,1,4.2,2469.833428,155.0988283,40.11481552,7.501140448,135.0205281,94.83811596,95.79236525,0,9.39,1,45.12650737,1.4,1.7,9.305098561,11.94753048,0.060049557,1.350681588,-11.03537856,0,2224.56114
44.99785765,0.743721893,10.75,16.63845825,-0.077277581,1,4.2,2469.528094,155.115011,40.11404129,7.499285901,134.9871462,94.68435869,95.79384439,0,9.39,1,45.12650737,1.4,1.7,10.73933154,11.95454091,0.036709297,1.421924453,-11.28924433,0,2224.559286
