Section Length,Cumulative Length,Radius
95.71,8021.78,0
4.28,8026.06,6.38
8.89,8034.95,7.09
9.5,8044.45,7.92
7.5,8051.95,8.7
10.67,8062.62,36.5
31.55,8094.17,0
5.2,8099.37,3.71
31.33,8130.7,14.33
7.22,8137.92,0
4,8141.92,6.58
5.99,8147.91,20.92
29.12,8177.03,0
4.91,8181.94,8.51
10,8191.94,8.13
9.8,8201.74,8.49
9.09,8210.83,7.79
5.22,8216.05,0
9.72,8225.77,8.45
8.69,8234.46,0
12.37,8246.83,10.03
7.28,8254.11,0
12.91,8267.02,8.2
3.65,8270.67,0
9.96,8280.63,6.86
6.51,8287.14,0
7.13,8294.27,7.01
5.38,8299.65,4.79
17.79,8317.44,0
9.92,8327.36,9.39
9.94,8337.3,0
15.32,8352.62,13.24
8.08,8360.7,0
14.53,8375.23,13.3
10.52,8385.75,0
12.98,8398.73,15.07
11.78,8410.51,0
10,8420.51,23.56
63.85,8484.36,0
18.74,8503.1,31.72
26.59,8529.69,21.5
18.13,8547.82,0
25.64,8573.46,22.09
20.28,8593.74,0
18.34,8612.08,22.23
14.41,8626.49,20.43
10.71,8637.2,11.57
11.77,8648.97,15.09
29.13,8678.1,20.63
10.25,8688.35,10.21
78.13,8766.48,0
10.04,8776.52,7.44
16.01,8792.53,11.78
16.68,8809.21,0
7.21,8816.42,9.13
6.61,8823.03,4.05
6.68,8829.71,0
14.26,8843.97,12.32
7.29,8851.26,3.92
9.05,8860.31,29.42
20.96,8881.27,0
32.25,8913.52,33.4
22.99,8936.51,17.72
17.05,8953.56,15.49
12.19,8965.75,5.52
95.71,9061.46,0
4.28,9065.74,6.38
8.89,9074.63,7.09
9.5,9084.13,7.92
7.5,9091.63,8.7
10.67,9102.3,36.5
31.55,9133.85,0
5.2,9139.05,3.71
31.33,9170.38,14.33
7.22,9177.6,0
4,9181.6,6.58
5.99,9187.59,20.92
29.12,9216.71,0
4.91,9221.62,8.51
10,9231.62,8.13
9.8,9241.42,8.49
9.09,9250.51,7.79
5.22,9255.73,0
9.72,9265.45,8.45
8.69,9274.14,0
12.37,9286.51,10.03
7.28,9293.79,0
12.91,9306.7,8.2
3.65,9310.35,0
9.96,9320.31,6.86
6.51,9326.82,0
7.13,9333.95,7.01
5.38,9339.33,4.79
17.79,9357.12,0
9.92,9367.04,9.39
9.94,9376.98,0
15.32,9392.3,13.24
8.08,9400.38,0
14.53,9414.91,13.3
10.52,9425.43,0
12.98,9438.41,15.07
11.78,9450.19,0
10,9460.19,23.56
63.85,9524.04,0
18.74,9542.78,31.72
26.59,9569.37,21.5
18.13,9587.5,0
25.64,9613.14,22.09
20.28,9633.42,0
18.34,9651.76,22.23
14.41,9666.17,20.43
10.71,9676.88,11.57
11.77,9688.65,15.09
