Type,Section Length,Cumulative Length,Radius
Left,4.122,3670.393,91.168
Left,4.153,3674.546,91.56
Left,4.231,3678.777,94.042
Left,4.214,3682.991,90.054
Left,4.169,3687.16,89.5
Left,4.125,3691.285,96.362
Left,4.086,3695.371,91.998
Left,4.061,3699.432,97.744
Left,4.042,3703.474,95.698
Left,4.061,3707.535,98.894
Left,4.103,3711.638,90.309
Left,4.15,3715.788,94.898
Left,4.183,3719.971,95.91
Left,4.233,3724.204,104.99
Left,4.289,3728.493,116.465
Left,4.353,3732.846,165.074
Left,4.422,3737.268,332.247
Straight,4.497,3741.765,0
Right,4.558,3746.323,306.969
Right,4.617,3750.94,172.432
Right,4.667,3755.607,137.886
Right,4.717,3760.324,122.583
Right,4.758,3765.082,117.756
Right,4.797,3769.879,123.469
Right,4.817,3774.696,111.555
Right,4.858,3779.554,119.704
Right,4.886,3784.44,115.339
Right,4.917,3789.357,112.52
Right,4.942,3794.299,105.928
Right,5,3799.299,113.769
Right,5.028,3804.327,108.27
Right,5.056,3809.383,112.3
Right,5.089,3814.472,113.786
Right,5.131,3819.603,118.728
Right,5.169,3824.772,124.957
Right,5.206,3829.978,140.932
Right,5.239,3835.217,190.323
Right,5.269,3840.486,358.289
Straight,5.297,3845.783,0
Left,5.328,3851.111,490.423
Left,5.358,3856.469,241.883
Left,5.394,3861.863,187.745
Left,5.417,3867.28,160.799
Left,5.456,3872.736,154.008
Left,5.478,3878.214,139.668
Left,5.497,3883.711,142.615
Left,5.511,3889.222,136.994
Left,5.547,3894.769,139.412
Left,5.581,3900.35,142.358
Left,5.603,3905.953,157.631
Left,5.631,3911.584,164.884
Left,5.661,3917.245,180.491
Left,5.697,3922.942,199.319
Left,5.725,3928.667,214.169
Left,5.753,3934.42,231.065
Left,5.789,3940.209,258.79
Left,5.822,3946.031,287.957
Left,5.858,3951.889,353.382
Left,5.892,3957.781,436.84
Left,5.922,3963.703,525.765
Left,5.95,3969.653,707.611
Left,5.978,3975.631,984.484
Left,6.008,3981.639,1314.259
Straight,809.319,4790.958,0
Right,6.919,4797.877,1435.471
Right,6.711,4804.588,936.966
Right,6.533,4811.121,630.596
Right,6.356,4817.477,420.157
Right,6.2,4823.677,310.988
Right,6.042,4829.719,248.058
Right,5.886,4835.605,202.973
Right,5.739,4841.344,177.633
Right,5.594,4846.938,157.162
Right,5.486,4852.424,144.039
Right,5.369,4857.793,132.384
Right,5.256,4863.049,122.417
Right,5.147,4868.196,115.415
Right,5.042,4873.238,109.328
Right,4.961,4878.199,107.679
Right,4.861,4883.06,101.637
Right,4.767,4887.827,97.316
Right,4.664,4892.491,92.388
Right,4.583,4897.074,92.301
Right,4.522,4901.596,89.088
Right,4.464,4906.06,87.932
Right,4.411,4910.471,85.865
Right,4.364,4914.835,85.517
Right,4.325,4919.16,84
Right,4.306,4923.466,83.246
Right,4.294,4927.76,84.682
Right,4.292,4932.052,86.922
Right,4.289,4936.341,85.231
Right,4.308,4940.649,86.795
Right,4.339,4944.988,88.03
Right,4.369,4949.357,88.063
Right,4.394,4953.751,88.672
Right,4.414,4958.165,88.66
Right,4.433,4962.598,89.442
Right,4.456,4967.054,91.155
Right,4.464,4971.518,89.877
Right,4.475,4975.993,91.132
Right,4.492,4980.485,91.812
Right,4.517,4985.002,93.673
Right,4.561,4989.563,92.606
Right,4.608,4994.171,96.643
Right,4.664,4998.835,98.987
Right,4.711,5003.546,105.23
Right,4.75,5008.296,107.979
Right,4.789,5013.085,118.069
Right,4.836,5017.921,124.822
Right,4.881,5022.802,132.684
Right,4.925,5027.727,139.692
Right,4.969,5032.696,148.08
