Type,Section Length,Cumulative Length,Radius
,2.522,19174.34,42.109
,2.536,19176.876,44.602
,2.567,19179.443,67.832
,2.619,19182.062,139.888
,2.708,19184.77,241.198
,2.8,19187.57,87.822
,2.842,19190.412,59.219
,2.842,19193.254,49.888
,2.822,19196.076,49.207
,2.808,19198.884,51.207
,2.828,19201.712,51.918
,2.85,19204.562,48.705
,2.9,19207.462,53.918
,2.944,19210.406,55.935
,2.992,19213.398,55.972
,3.028,19216.426,58.774
,3.089,19219.515,67.076
,3.156,19222.671,69.05
,3.219,19225.89,71.875
,3.278,19229.168,86.236
,3.336,19232.504,96.967
,3.403,19235.907,113.492
,3.472,19239.379,153.623
,3.539,19242.918,223.97
,3.597,19246.515,338.221
,3.661,19250.176,803.726
,3.731,19253.907,0
,3.792,19257.699,915.949
,3.847,19261.546,628.658
,3.908,19265.454,502.288
,3.978,19269.432,460.833
,4.047,19273.479,491.096
,4.111,19277.59,506.723
,4.178,19281.768,539.148
,4.242,19286.01,591.619
,4.308,19290.318,727.74
,4.372,19294.69,847.242
,4.433,19299.123,954.053
,4.494,19303.617,1143.959
,4.558,19308.175,1245.932
,4.617,19312.792,1357.901
,4.669,19317.461,1481.734
,4.714,19322.175,1510.075
,4.756,19326.931,1773.332
,4.803,19331.734,1959.452
,105.844,19437.578,0
,5.733,19443.311,1763.566
,5.769,19449.08,1475.269
,5.797,19454.877,1105.119
,5.814,19460.691,650.113
,5.828,19466.519,443.856
,5.833,19472.352,327.234
,5.833,19478.185,249.546
,5.797,19483.982,207.628
,5.708,19489.69,184.534
,5.583,19495.273,165.507
,5.458,19500.731,149.608
,5.333,19506.064,144.977
,5.203,19511.267,139.359
,5.097,19516.364,132.424
,4.975,19521.339,115.205
,4.886,19526.225,105.811
,4.8,19531.025,98.682
,4.711,19535.736,90.498
,4.633,19540.369,85.483
,4.575,19544.944,91.18
,4.533,19549.477,98.817
,4.475,19553.952,95.838
,4.428,19558.38,90.022
,4.414,19562.794,91.943
,4.381,19567.175,87.326
,4.331,19571.506,82.401
,4.294,19575.8,81.383
,4.3,19580.1,85.286
,4.333,19584.433,85.073
,4.381,19588.814,84.314
,4.417,19593.231,86.833
,4.447,19597.678,85.791
,4.478,19602.156,88.48
,4.508,19606.664,88.165
,4.542,19611.206,91.418
,4.564,19615.77,88.469
,4.603,19620.373,90.739
,4.647,19625.02,92.5
,4.697,19629.717,99.08
,4.733,19634.45,105.246
,4.764,19639.214,119.866
,4.811,19644.025,139.616
,4.858,19648.883,161.48
,4.908,19653.791,184.649
,4.95,19658.741,211.67
,4.992,19663.733,244.224
,5.028,19668.761,303.155
,5.058,19673.819,389.288
,5.092,19678.911,562.281
,5.142,19684.053,929.268
,5.2,19689.253,1722.732
,10.517,19699.77,0
,5.314,19705.084,1799.02
,5.356,19710.44,1218.229
,5.394,19715.834,1022.884
,5.433,19721.267,911.905
,5.475,19726.742,898.712
,5.519,19732.261,1070.838
,5.561,19737.822,1313.539
,5.603,19743.425,1684.163
,75.011,19818.436,0
,5.386,19823.822,1971.471
,5.2,19829.022,1148.488
,5.019,19834.041,546.442
,4.875,19838.916,327.377
,4.725,19843.641,214.698
,4.631,19848.272,161.906
,4.514,19852.786,131.455
,4.425,19857.211,114.712
,4.35,19861.561,102.601
,4.3,19865.861,98.681
,4.261,19870.122,89.414
,4.231,19874.353,82.928
,4.2,19878.553,78.867
,4.175,19882.728,77.931
,4.153,19886.881,78.832
,4.133,19891.014,73.174
,4.139,19895.153,75.923
,4.158,19899.311,75.977
,4.181,19903.492,76.462
,4.197,19907.689,75.138
,4.236,19911.925,85.478
,4.272,19916.197,88.177
,4.317,19920.514,96.419
,4.356,19924.87,105.099
,4.394,19929.264,120.768
,4.447,19933.711,138.088
,4.506,19938.217,142.712
,4.55,19942.767,180.372
,4.586,19947.353,196.695
,4.622,19951.975,209.411
,4.664,19956.639,254.864
,4.722,19961.361,420.95
,4.778,19966.139,541.146
,4.831,19970.97,1251.906
,207.625,20178.595,0
,6.242,20184.837,1985.647
,6.267,20191.104,1601.269
,6.294,20197.398,1346.246
,6.319,20203.717,1197.319
,6.347,20210.064,1140.764
,6.372,20216.436,1118.693
,6.4,20222.836,1128.468
,6.425,20229.261,1202.29
,6.453,20235.714,1248.376
,6.478,20242.192,1156.063
,6.503,20248.695,1105.259
,6.525,20255.22,1058.542
,6.547,20261.767,949.921
,6.569,20268.336,936.031
,6.594,20274.93,963.673
,6.617,20281.547,1014.278
,6.636,20288.183,1020.248
,6.653,20294.836,1074.206
,6.664,20301.5,1131.687
,6.681,20308.181,1166.518
,6.697,20314.878,1115.158
,6.717,20321.595,1121.643
,6.736,20328.331,1156.35
,6.753,20335.084,1191.877
,6.772,20341.856,1263.548
,6.792,20348.648,1516.778
,6.811,20355.459,1818.836
,532.419,20887.878,0
,5.436,20893.314,1369.257
,5.264,20898.578,807.005
,5.114,20903.692,579.53
,5,20908.692,411.035
,4.886,20913.578,282.982
,4.756,20918.334,205.833
,4.622,20922.956,154.459
,4.456,20927.412,124.916
,4.225,20931.637,100.532
,4.122,20935.759,91.168
,4.153,20939.912,91.56
,4.231,20944.143,94.042
,4.214,20948.357,90.054
,4.169,20952.526,89.5
,4.125,20956.651,96.362
,4.086,20960.737,91.998
,4.061,20964.798,97.744
,4.042,20968.84,95.698
,4.061,20972.901,98.894
,4.103,20977.004,90.309
,4.15,20981.154,94.898
,4.183,20985.337,95.91
,4.233,20989.57,104.99
,4.289,20993.859,116.465
,4.353,20998.212,165.074
,4.422,21002.634,332.247
,4.497,21007.131,0
,4.558,21011.689,306.969
,4.617,21016.306,172.432
,4.667,21020.973,137.886
,4.717,21025.69,122.583
,4.758,21030.448,117.756
,4.797,21035.245,123.469
,4.817,21040.062,111.555
,4.858,21044.92,119.704
,4.886,21049.806,115.339
,4.917,21054.723,112.52
,4.942,21059.665,105.928
,5,21064.665,113.769
,5.028,21069.693,108.27
,5.056,21074.749,112.3
,5.089,21079.838,113.786
,5.131,21084.969,118.728
,5.169,21090.138,124.957
,5.206,21095.344,140.932
,5.239,21100.583,190.323
,5.269,21105.852,358.289
,5.297,21111.149,0
,5.328,21116.477,490.423
,5.358,21121.835,241.883
,5.394,21127.229,187.745
,5.417,21132.646,160.799
,5.456,21138.102,154.008
,5.478,21143.58,139.668
,5.497,21149.077,142.615
,5.511,21154.588,136.994
,5.547,21160.135,139.412
,5.581,21165.716,142.358
,5.603,21171.319,157.631
,5.631,21176.95,164.884
,5.661,21182.611,180.491
,5.697,21188.308,199.319
,5.725,21194.033,214.169
,5.753,21199.786,231.065
,5.789,21205.575,258.79
,5.822,21211.397,287.957
,5.858,21217.255,353.382
,5.892,21223.147,436.84
,5.922,21229.069,525.765
,5.95,21235.019,707.611
,5.978,21240.997,984.484
,6.008,21247.005,1314.259
,809.319,22056.324,0
