Section Length,Cumulative Length,Radius
21.761,19175.419,398.118
22.671,19198.09,673.854
23.624,19221.714,1025.016
24.549,19246.263,1175.706
25.439,19271.702,1127.642
26.288,19297.99,1169.156
26.926,19324.916,1356.097
27.606,19352.522,1237.97
28.263,19380.785,1819.53
109.867,19490.652,0
22.336,19512.988,1312.425
21.613,19534.601,174.733
21.543,19556.144,135.459
21.956,19578.1,142.533
22.483,19600.583,148.179
23.021,19623.604,147.602
23.465,19647.069,131.141
23.378,19670.447,114.749
22.725,19693.172,118.365
22.06,19715.232,114.629
22.35,19737.582,384.3
22.924,19760.506,244.041
23.514,19784.02,262.45
24.025,19808.045,173.563
24.444,19832.489,158.828
24.851,19857.34,172.835
25.246,19882.586,215.309
25.646,19908.232,212.503
25.982,19934.214,195.493
26.306,19960.52,268.718
26.906,19987.426,0
27.407,20014.833,1196.389
27.939,20042.772,837.579
28.438,20071.21,1345.884
83.054,20154.264,0
21.553,20175.817,1821.227
17.901,20193.718,854.03
15.099,20208.817,279.139
14.693,20223.51,95.577
14.985,20238.495,85.248
15.792,20254.287,79.689
16.501,20270.788,78.41
17.103,20287.891,89.541
17.008,20304.899,73.173
17.075,20321.974,81.481
17.626,20339.6,139.365
18.447,20358.047,313.22
19.169,20377.216,130.631
19.574,20396.79,99.629
19.611,20416.401,89.304
19.771,20436.172,89.742
20.04,20456.212,91.229
20.332,20476.544,98.919
20.729,20497.273,117.985
21.279,20518.552,161.955
22.051,20540.603,436.724
22.919,20563.522,863.669
23.7,20587.222,555.892
23.339,20610.561,584.477
22.421,20632.982,761.978
20.222,20653.204,307.645
17.682,20670.886,98.594
16.993,20687.879,80.261
16.593,20704.472,68.959
16.947,20721.419,71.191
17.369,20738.788,70.577
17.892,20756.68,81.782
18.458,20775.138,93.867
19.129,20794.267,291.416
20.171,20814.438,987.482
21.263,20835.701,1018.453
22.083,20857.784,234.214
22.893,20880.677,195.157
23.603,20904.28,144.041
24.113,20928.393,129.83
24.538,20952.931,134.964
24.325,20977.256,115.438
23.558,21000.814,118.109
23.817,21024.631,155.227
24.332,21048.963,285.348
24.996,21073.959,682.995
25.604,21099.563,1086.619
26.054,21125.617,617.828
26.524,21152.141,562.453
26.979,21179.12,613.201
27.418,21206.538,619.24
27.84,21234.378,633.341
28.251,21262.629,594.954
28.651,21291.28,635.143
29.039,21320.319,527.355
29.41,21349.729,520.167
29.768,21379.497,468.638
30.118,21409.615,672.484
61.032,21470.647,0
30.89,21501.537,1818.113
31.131,21532.668,940.839
31.357,21564.025,622.548
31.568,21595.593,487.8
31.747,21627.34,356.429
31.91,21659.25,366.12
32.033,21691.283,280.431
32.124,21723.407,300.546
32.235,21755.642,515.427
31.585,21787.227,696.518
62.154,21849.381,0
30.918,21880.299,425.985
30.769,21911.068,244.793
30.547,21941.615,206.896
30.29,21971.905,195.459
30.226,22002.131,230.527
