elapsedDistance,brakePosition,engineSpeed,torque
124.0,0.0,3109.181006,100.0
124.5,0.0,3116.993002,100.0
125.0,0.0,3124.768866,100.0
125.5,0.0,3132.508904,100.0
126.0,0.0,3140.213417,100.0
126.5,0.0,3147.882699,100.0
127.0,0.0,3155.517045,100.0
127.5,0.0,3163.116741,100.0
128.0,0.0,3170.682072,100.0
128.5,0.0,3178.213318,100.0
129.0,0.0,3185.710755,100.0
129.5,0.0,3193.174656,100.0
130.0,0.0,3200.605291,100.0
130.5,0.0,3208.002923,100.0
131.0,0.0,3215.367816,100.0
131.5,0.0,3222.700226,100.0
132.0,0.0,3230.00041,100.0
132.5,0.0,3237.268619,100.0
133.0,0.0,3244.505101,100.0
133.5,0.0,3251.7101,100.0
134.0,0.0,3258.88386,100.0
134.5,0.0,3266.026618,100.0
135.0,0.0,3273.13861,100.0
135.5,0.0,3280.22007,100.0
136.0,0.0,3287.271226,100.0
136.5,0.0,3294.292306,100.0
137.0,0.0,3301.283534,100.0
137.5,0.0,3308.245131,100.0
138.0,0.0,3315.177316,100.0
138.5,0.0,3322.080305,100.0
139.0,0.0,3328.95431,100.0
139.5,0.0,3335.799542,100.0
140.0,0.0,3342.616211,100.0
140.5,0.0,3349.40452,100.0
141.0,0.0,3356.164674,100.0
141.5,0.0,3362.896873,100.0
142.0,0.0,3369.601316,100.0
142.5,0.0,3376.278198,100.0
143.0,0.0,3382.927713,100.0
143.5,0.0,3389.550053,100.0
144.0,0.0,3396.145407,100.0
144.5,0.0,3402.713963,100.0
145.0,0.0,3409.255904,100.0
145.5,0.0,3415.771414,100.0
146.0,0.0,3422.260674,100.0
146.5,0.0,3428.723862,100.0
147.0,0.0,3435.161155,100.0
147.5,0.0,3441.572727,100.0
148.0,0.0,3447.958753,100.0
148.5,0.0,3454.319402,100.0
149.0,0.0,3460.654843,100.0
149.5,0.0,3466.965243,100.0
150.0,0.0,3473.250769,100.0
150.5,0.0,3479.511583,100.0
151.0,0.0,3485.747847,100.0
151.5,0.0,3491.959721,100.0
152.0,0.0,3498.147364,100.0
152.5,0.0,3504.310932,100.0
153.0,0.0,3510.45058,100.0
153.5,0.0,3516.566461,100.0
154.0,0.0,3522.658727,100.0
154.5,0.0,3528.727528,100.0
155.0,0.0,3534.773013,100.0
155.5,0.0,3540.795329,100.0
156.0,0.0,3546.794621,100.0
156.5,0.0,3552.771033,100.0
157.0,0.0,3558.724708,100.0
157.5,0.0,3564.655787,100.0
158.0,0.0,3570.564409,100.0
158.5,0.0,3576.450713,100.0
159.0,0.0,3582.314836,100.0
159.5,0.0,3588.156913,100.0
160.0,0.0,3593.977078,100.0
160.5,0.0,3599.775465,100.0
161.0,0.0,3605.552204,100.0
161.5,0.0,3611.307426,100.0
162.0,0.0,3617.041259,100.0
162.5,0.0,3622.753833,100.0
163.0,0.0,3628.445272,100.0
163.5,0.0,3634.115702,100.0
164.0,0.0,3639.765248,100.0
164.5,0.0,3645.394032,100.0
165.0,0.0,3651.002175,100.0
165.5,0.0,3656.589799,100.0
166.0,0.0,3662.157023,100.0
166.5,0.0,3667.703964,100.0
167.0,0.0,3673.230741,100.0
167.5,0.0,3678.737469,100.0
168.0,0.0,3684.224263,100.0
168.5,0.0,3689.691237,100.0
169.0,0.0,3695.138504,100.0
169.5,0.0,3700.566176,100.0
170.0,0.0,3705.974364,100.0
170.5,0.0,3711.363177,100.0
171.0,0.0,3716.732724,100.0
171.5,0.0,3722.083113,100.0
172.0,0.0,3727.414452,100.0
172.5,0.0,3732.726845,100.0
173.0,0.0,3738.020398,100.0
173.5,0.0,3743.295215,100.0
174.0,0.0,3748.551399,100.0
174.5,0.0,3753.789052,100.0
175.0,0.0,3759.008276,100.0
175.5,100.0,3743.590123,100.0
176.0,28.14433583,3725.964787,100.0
176.5,29.96720233,3715.395469,100.0
177.0,31.72757553,3704.451448,100.0
177.5,33.4326647,3693.142463,100.0
178.0,35.08818189,3681.476844,100.0
178.5,36.69873822,3669.461785,100.0
179.0,38.26811493,3657.103548,100.0
179.5,39.79945456,3644.407614,100.0
180.0,41.29539913,3631.378805,100.0
180.5,42.75819237,3618.021374,100.0
181.0,44.18975663,3604.339076,100.0
181.5,45.59175187,3590.335234,100.0
182.0,46.96562152,3576.01278,100.0
182.5,48.31262858,3561.374299,100.0
183.0,49.63388448,3546.422061,100.0
183.5,50.93037226,3531.158046,100.0
184.0,52.2029655,3515.583968,100.0
184.5,53.45244385,3499.701295,100.0
185.0,54.67950589,3483.511261,100.0
185.5,55.88477985,3467.014885,100.0
186.0,57.06883262,3450.212974,100.0
186.5,58.23217738,3433.10614,100.0
187.0,59.37528008,3415.694803,100.0
187.5,60.49856498,3397.979196,100.0
188.0,61.60241943,3379.959374,100.0
188.5,62.68719797,3361.635213,100.0
189.0,63.75322588,3343.006415,100.0
189.5,64.80080236,3324.07251,100.0
190.0,65.8302032,3304.832853,100.0
190.5,66.84168316,3285.286628,100.0
191.0,67.83547814,3265.432846,100.0
191.5,68.81180698,3245.270341,100.0
192.0,69.77087314,3224.797769,100.0
192.5,70.71286618,3204.013605,100.0
193.0,71.63796307,3182.916138,100.0
193.5,72.54632932,3161.503468,100.0
194.0,73.43812009,3139.773499,100.0
194.5,0.0,3126.639735,100.0
195.0,0.0,3122.657949,100.0
195.5,0.0,3119.30711,100.0
196.0,0.0,3116.240604,100.0
196.5,0.0,3113.387054,100.0
197.0,0.0,3110.70745,100.0
197.5,0.0,3108.176215,100.0
198.0,0.0,3105.774924,100.0
198.5,0.0,3103.489493,100.0
199.0,0.0,3101.30872,100.0
199.5,0.0,3099.223421,100.0
200.0,0.0,3097.225899,100.0
200.5,0.0,3095.309586,100.0
201.0,0.0,3093.468797,100.0
201.5,0.0,3091.698551,100.0
202.0,0.0,3089.994441,100.0
