Elapsed Time,Voltage,Adjusted SoC
10570.579,4.07302,94.495718
10580.579,4.0714,94.356811
10590.579,4.07043,94.217913
10600.579,4.06914,94.079011
10610.579,4.06817,93.940132
10620.579,4.06687,93.801216
10630.579,4.06558,93.66232
10640.579,4.06461,93.523439
10650.579,4.06332,93.384579
10660.579,4.06202,93.245672
10670.579,4.06105,93.106786
10680.579,4.06008,92.967909
10690.579,4.05879,92.828998
10700.579,4.05782,92.69013
10710.579,4.05685,92.551226
10720.579,4.05588,92.412335
10730.579,4.05491,92.273454
10740.579,4.05394,92.134577
10750.579,4.05329,91.995674
10760.579,4.05264,91.856776
10770.579,4.05167,91.717887
10780.579,4.0507,91.578997
10790.579,4.05006,91.440135
10800.579,4.04941,91.30124
10810.579,4.04844,91.162327
10820.579,4.04811,91.023459
10830.579,4.04747,90.884547
10840.579,4.0465,90.745636
10850.579,4.04585,90.606739
10860.579,4.0452,90.467862
10870.579,4.04423,90.328972
10880.579,4.04359,90.19007
10890.579,4.04262,90.051197
10900.579,4.04197,89.91233
10910.579,4.04132,89.773439
10920.579,4.04035,89.634544
10930.579,4.03938,89.495646
10940.579,4.03873,89.356762
10950.579,4.03744,89.217858
10960.579,4.03679,89.078969
10970.579,4.0355,88.940066
10980.579,4.03453,88.801195
10990.579,4.03324,88.662297
11000.579,4.03194,88.523398
11010.579,4.03065,88.384496
11020.579,4.02903,88.245591
11030.579,4.02741,88.106705
11040.579,4.02547,87.967808
11050.579,4.02353,87.828928
11060.579,4.02159,87.690036
11070.579,4.01965,87.551145
11080.579,4.01706,87.412252
11090.579,4.01512,87.273333
11100.579,4.01254,87.13445
11110.579,4.00995,86.99556
11120.579,4.00768,86.856701
11130.579,4.0051,86.717808
11140.579,4.00251,86.57893
11150.579,4.00025,86.440063
11160.579,3.99766,86.301176
11170.579,3.99539,86.162303
11180.579,3.99281,86.023416
11190.579,3.99054,85.884501
11200.579,3.98828,85.74561
11210.579,3.98601,85.60674
11220.579,3.98407,85.46785
11230.579,3.98213,85.32897
11240.579,3.98019,85.190057
11250.579,3.97793,85.051164
11260.579,3.97599,84.912291
11270.579,3.97437,84.773391
11280.579,3.97275,84.634503
11290.579,3.97081,84.495611
11300.579,3.9692,84.356719
11310.579,3.96758,84.217842
11320.579,3.96596,84.07895
11330.579,3.96434,83.940087
11340.579,3.96305,83.801169
11350.579,3.96143,83.662279
11360.579,3.96014,83.523403
11370.579,3.95852,83.384506
11380.579,3.95723,83.245623
11390.579,3.95594,83.106751
