Segment Length,Cumulative Length,Radius
7.452,4579.729,291.805
7.443,4587.172,291.106
7.43,4594.602,288.57
7.443,4602.045,297.234
7.461,4609.506,295.553
7.483,4616.989,302.046
7.501,4624.49,310.053
7.501,4631.991,315.164
7.506,4639.497,319.046
7.519,4647.016,321.975
7.537,4654.553,318.176
7.551,4662.104,314.131
7.564,4669.668,318.694
7.573,4677.241,319.447
7.586,4684.827,318.838
7.591,4692.418,333.723
7.604,4700.022,336.817
7.622,4707.644,340.348
7.631,4715.275,343.119
7.653,4722.928,349.169
7.662,4730.59,349.985
7.667,4738.257,363.135
7.685,4745.942,385.879
7.694,4753.636,413.269
7.698,4761.334,454.191
7.707,4769.041,513.117
7.725,4776.766,568.496
7.734,4784.5,648.617
7.738,4792.238,744.396
7.756,4799.994,851.707
7.774,4807.768,993.645
7.778,4815.546,1258.711
7.805,4823.351,1634.288
63.055,4886.406,0
7.944,4894.35,1891.994
7.957,4902.307,1265.592
7.966,4910.273,898.476
7.98,4918.253,676.128
7.993,4926.246,556.638
8.015,4934.261,496.147
8.024,4942.285,462.237
8.029,4950.314,443.992
8.006,4958.32,441.523
7.962,4966.282,430.785
7.908,4974.19,400.943
7.85,4982.04,383.027
7.805,4989.845,371.874
7.761,4997.606,361.139
7.725,5005.331,357.818
7.685,5013.016,356.196
7.658,5020.674,349.577
7.627,5028.301,350.829
7.595,5035.896,343.886
7.564,5043.46,324.005
7.533,5050.993,310.964
7.497,5058.49,313.068
7.479,5065.969,306.551
7.466,5073.435,291.355
7.466,5080.901,295.907
7.466,5088.367,299.022
7.434,5095.801,287.443
7.399,5103.2,284.684
7.376,5110.576,287.365
7.358,5117.934,285.974
7.345,5125.279,284.932
7.34,5132.619,286.068
7.345,5139.964,286.416
7.349,5147.313,286.765
7.354,5154.667,284.154
7.358,5162.025,285.974
7.363,5169.388,292.381
7.376,5176.764,296.586
7.399,5184.163,299.99
7.403,5191.566,312.098
7.412,5198.978,314.61
7.425,5206.403,315.75
7.434,5213.837,304.535
7.443,5221.28,303.626
7.448,5228.728,297.591
7.452,5236.18,299.525
7.457,5243.637,304.721
7.47,5251.107,316.012
7.483,5258.59,322.524
7.501,5266.091,322.246
7.515,5273.606,325.226
7.524,5281.13,322.358
7.533,5288.663,324.94
7.546,5296.209,329.804
7.555,5303.764,336.319
7.564,5311.328,343.064
7.586,5318.914,351.294
7.604,5326.518,359.409
7.622,5334.14,365.559
7.64,5341.78,386.356
7.644,5349.424,399.788
7.662,5357.086,412.741
7.68,5364.766,442.111
7.698,5372.464,464.672
7.716,5380.18,481.654
7.729,5387.909,516.097
7.743,5395.652,593.311
7.756,5403.408,666.553
7.765,5411.173,798.239
7.778,5418.951,920.55
7.787,5426.738,1065.84
7.805,5434.543,1242.059
7.823,5442.366,1417.905
7.85,5450.216,1653.062
7.872,5458.088,1974.206
823.086,6281.174,0
8.883,6290.057,1489.449
8.784,6298.841,1008.45
8.708,6307.549,757.882
8.646,6316.195,651.255
8.574,6324.769,609.279
8.494,6333.263,583.661
8.418,6341.681,587.245
8.351,6350.032,607.563
8.288,6358.32,625.209
8.226,6366.546,589.486
8.167,6374.713,548.377
8.123,6382.836,513.408
8.074,6390.91,471.238
8.029,6398.939,438.072
7.975,6406.914,415.613
7.926,6414.84,400.241
7.881,6422.721,376.894
7.828,6430.549,361.036
7.783,6438.332,352.844
7.738,6446.07,341.008
7.694,6453.764,333.355
7.653,6461.417,326.272
7.609,6469.026,324.244
7.568,6476.594,315.621
7.533,6484.127,306.028
7.492,6491.619,301.174
7.466,6499.085,295.907
7.434,6506.519,288.917
7.425,6513.944,285.297
7.43,6521.374,293.079
7.434,6528.808,294.968
7.421,6536.229,289.36
7.416,6543.645,295.096
7.403,6551.048,286.49
7.39,6558.438,281.128
7.385,6565.823,277.98
7.381,6573.204,281.872
7.381,6580.585,280.448
7.403,6587.988,289.459
7.425,6595.413,300.553
7.439,6602.852,296.877
7.452,6610.304,306.001
7.461,6617.765,301.841
7.466,6625.231,307.104
7.479,6632.71,304.912
7.497,6640.207,304.742
7.506,6647.713,307.103
7.51,6655.223,310.793
7.51,6662.733,305.833
7.519,6670.252,300.175
7.528,6677.78,308.934
7.542,6685.322,310.036
7.555,6692.877,309.485
7.564,6700.441,320.445
7.582,6708.023,327.358
7.591,6715.614,335.63
7.6,6723.214,340.311
7.618,6730.832,352.09
7.622,6738.454,356.75
7.627,6746.081,365.988
7.64,6753.721,378.973
7.649,6761.37,402.96
7.667,6769.037,437.352
7.685,6776.722,477.755
7.702,6784.424,530.505
7.72,6792.144,584.218
7.729,6799.873,641.047
7.747,6807.62,695.246
7.761,6815.381,748.703
7.77,6823.151,809.673
7.792,6830.943,884.139
7.801,6838.744,954.336
7.819,6846.563,1056.213
7.832,6854.395,1226.088
7.859,6862.254,1464.175
7.877,6870.131,1807.039
39.581,6909.712,0
7.957,6917.669,1792.921
7.966,6925.635,1244.044
7.984,6933.619,941.754
7.998,6941.617,749.42
8.002,6949.619,604.374
8.02,6957.639,546.371
8.033,6965.672,522.095
8.06,6973.732,483.387
8.065,6981.797,476.96
8.051,6989.848,458.869
8.011,6997.859,416.678
7.989,7005.848,394.266
7.948,7013.796,385.63
7.917,7021.713,367.208
7.895,7029.608,360.988
7.872,7037.48,363.072
7.841,7045.321,346.262
7.805,7053.126,332.101
7.774,7060.9,324.242
7.743,7068.643,321.637
7.716,7076.359,317.74
7.707,7084.066,317.004
7.689,7091.755,315.535
7.671,7099.426,314.069
7.649,7107.075,307.413
7.618,7114.693,301.791
7.586,7122.279,300.852
7.559,7129.838,297.204
7.533,7137.371,293.601
7.519,7144.89,291.079
7.51,7152.4,287.483
7.519,7159.919,286.734
7.519,7167.438,288.168
7.51,7174.948,284.637
7.519,7182.467,292.556
7.519,7189.986,297.08
7.524,7197.51,295.908
7.542,7205.052,298.849
7.551,7212.603,301.11
7.559,7220.162,300.268
7.573,7227.735,304.473
7.573,7235.308,306.067
